co_entidade,no_entidade,no_municipio,co_uf,qt_doc_bas_vinculo_concur,qt_doc_bas_vinculo_contra,doc_publicos_principais,perc_temporarios,doc_ept,tur_ept,qt_doc_bas_disc_profissiona
43101917,ESC TECNICA EST PROFESSORA SYLVIA MELLO,Pelotas,43,21,25,46,0.5434782608695652,31,6,7
43131417,COL ESTADUAL TOLENTINA BARCELOS GONCALVES,Santo Antônio das Missões,43,16,19,35,0.5428571428571428,27,7,6
43126731,COL ESTADUAL SANTA VITORIA DO PALMAR,Santa Vitória do Palmar,43,22,26,48,0.5416666666666666,37,6,6
43163025,INST EST EDUC IRMAO GETULIO,Vacaria,43,24,28,52,0.5384615384615384,18,5,0
43105173,ESC TECNICA EST JOSE FEIJO,Porto Alegre,43,13,15,28,0.5357142857142857,5,1,5
43049095,ESC EST ENS MED ROCHA POMBO,Crissiumal,43,7,8,15,0.5333333333333333,14,1,0
43165133,ESC EST ENS MED FRIDA RECKZIEGEL,Venâncio Aires,43,7,8,15,0.5333333333333333,8,1,0
43057730,INST EST EDUC SAO JOAO BATISTA,Herval,43,15,17,32,0.53125,5,2,0
43011721,COL ESTADUAL EMILIO ZUNEDA,Alegrete,43,27,30,57,0.5263157894736842,33,19,15
43101615,ESC EST ENS MED MARECHAL RONDON,Pelotas,43,9,10,19,0.5263157894736842,11,1,0
43096514,INST EST EDUC 22 DE MAIO,Palmitinho,43,19,21,40,0.525,39,6,0
43032974,ESC EST ED BAS JOAO XXIII,Campina das Missões,43,10,11,21,0.5238095238095238,3,2,3
43156851,INST EST EDUC MARIA ANGELINA MAGGI,Três Cachoeiras,43,22,24,46,0.5217391304347826,16,4,0
43121870,ESC EST ENS MED NOSSA SENHORA DO ROSARIO,Santa Cruz do Sul,43,11,12,23,0.5217391304347826,16,1,0
43129331,INST EST EDUC ODAO FELIPPE PIPPI,Santo Ângelo,43,35,38,73,0.5205479452054794,24,11,7
43031005,INST EST EDUC CONEGO LUIZ WALTER HANQUET,Camaquã,43,29,31,60,0.5166666666666667,21,6,8
43049907,ESC EST ENS MED MAJOR BELARMINO CORTES,Cruz Alta,43,18,19,37,0.5135135135135135,13,1,0
43156371,INST EST EDUC MARCILIO DIAS,Torres,43,27,28,55,0.509090909090909,31,9,7
43012582,ESC EST ED BAS DR LAURO DORNELLES,Alegrete,43,26,26,52,0.5,8,3,8
43135994,INST EST EDUC MENNA BARRETO,São Gabriel,43,22,22,44,0.5,21,8,0
43112811,COL ESTADUAL LEMOS JUNIOR,Rio Grande,43,21,21,42,0.5,25,7,10
43127150,INST EST EDUC PROFESSOR ISAIAS,Santiago,43,19,19,38,0.5,39,18,9
